name,artist,year,producer,genre,language,length,label
Thirteen,Big Star,1972,,,,,
Bitter Sweet Symphony,The Verve,1997,The Verve,"альтернативный рок,,брит-поп,психоделическая музыка,классическая музыка",английский,5:58 ,
O-o-h Child,The Five Stairsteps,1970,,,,,
Ohio,"Crosby, Stills, Nash and Young",1970,"Дэвид Кросби,Стивен Стиллз,Грэм Нэш,Нил Янг",,,,
Whipping Post,The Allman Brothers Band,1969,Том Дауд,,,,
Tell It Like It Is,Аарон Невилл,1966,,,,,
Radio Free Europe,R.E.M.,1983,,"альтернативный рок,пост-панк",американский английский,3:46,Hib-Tone
Another Brick in the Wall Part 2,Pink Floyd,1979,"Боб Эзрин,Дэвид Гилмор,Роджер Уотерс","прогрессив-рок,прогрессив-рок,фанк-рок,арт-рок","английский,английский", ,Harvest
Wonderful World,Сэм Кук,1960,"Лу Адлер,Сэм Кук","ритм-н-блюз,соул",английский,2:09,Keen
Pride (In the Name of Love),U2,1984,"Брайан Ино,Даниэль Лануа","рок,пост-панк",английский,3:48,Island
Marquee Moon,Television,1977,,"арт-панк,новая волна,",английский,10:40,Elektra
Hit the Road Jack,Рэй Чарльз,1961,,ритм-н-блюз,английский,1:57,ABC Records
Brown Eyed Handsome Man,Чак Берри,1956,"Леонард Чесс,Фил Чесс",Рок-н-ролл,,2:19,Chess Records
Maps,Yeah Yeah Yeahs,2004,,"Инди-рок,арт-панк",,3:40,Interscope
Fake Plastic Trees,Radiohead,1995,Джон Леки,альтернативный рок,английский,4:52,Parlophone
White Room,Cream,1968,,"психоделический рок,блюз-рок,,хард-рок,",,3:04,Atco
I Can’t Explain,The Who,1965,,"пауэр-поп,",английский,2:04,Brunswick
I’m a Man,Бо Диддли,1955,"Леонард Чесс,Фил Чесс,Бо Диддли",ритм-н-блюз,английский,2:59,Checker
Personal Jesus,Depeche Mode,1989,"Depeche Mode,Flood","электроник-рок,,блюз-рок,,альтернативный рок,,дэнс-рок,",английский,4:56 ,Mute
How Deep Is Your Love,Bee Gees,1977,Bee Gees,"поп,ритм-н-блюз",английский,"4:06, 3:36 ",RSO Records
Killing Me Softly with His Song,Роберта Флэк,1973,Джоэл Дорн,Соул,английский,4:46,Atlantic
Nowhere to Run,Martha and the Vandellas,1965,"Брайан Холланд, Ламонт Дозье","поп,соул",,2:48,Gordy
Little Wing,The Jimi Hendrix Experience,1968,Чес Чендлер,рок,английский,2:26,MCA Records
Sweet Dreams (Are Made of This),Eurythmics,1983,Дэйв Стюарт,"новая волна,синти-поп",английский,3:35 ,RCA
The Great Pretender,The Platters,1955,,R&B,английский,2:37,Mercury Records
Bad Moon Rising,Creedence Clearwater Revival,1969,Джон Фогерти,"рутс-рок,swamp rock,кантри-рок",английский,2:21,Fantasy
Tears in Heaven,Эрик Клэптон,1992,,Софт-рок,английский,4:30,Warner Bros. Records
All Shook Up,Элвис Пресли,1957,,"Рок-н-ролл,Рок",,1:57,RCA Records
The Loco-Motion,Литл Ива,1962,Джерри Гоффин,"Бабблгам-поп,ритм-н-блюз",английский,02:27,
Spanish Harlem,Бен Кинг,1960,Джерри Либер и Майк Столлер,соул,,2:53,Atco Records
Candle in the Wind,Элтон Джон,1973,,Поп-музыка,,3:39,A&M
California Love,"Dr. Dre,2Pac",1996,Dr. Dre,"Хип-хоп Западного побережья,гангста-рэп,джи-фанк",английский,4:45 ,Death Row
Piece of My Heart,Big Brother and the Holding Company,1968,,"фанк,соул",,2:35,Shout Records
Baba O’Riley,The Who,1971,"The Who,Глин Джонс","Хард-рок,,арт-рок",английский,5:08,Polydor
Watching the Detectives,Элвис Костелло,1977,Ник Лоу,,,,
La Bamba,Ричи Валенс,1958,,"Латинский рок,Латиноамериканская музыка,Рок-н-ролл,Латинский рок,Латиноамериканская музыка","испанский,испанский",2:04,Del-Fi
That Lady (Part 1 and 2),The Isley Brothers,1973,The Isley Brothers,,,,
You Keep Me Hangin’ On,The Supremes,1966,"Брайан Холланд, Ламонт Дозье","соул,поп,психоделический рок,прото-панк,прото-метал,хай-энерджи,,,новая волна,","английский,английский,английский",2:47 ,Motown
Sweet Jane,The Velvet Underground,1970,The Velvet Underground,"прото-панк,",,3:55,Atlantic
The Harder They Come,Джимми Клифф,1975,Джимми Клифф,,,,
Spirit in the Sky,Норман Гринбаум,1970,,,,,
Maybe I’m Amazed,Пол Маккартни,1970,Пол Маккартни,,,,
Subterranean Homesick Blues,Боб Дилан,1965,,фолк-рок,английский,,Columbia Records
We Will Rock You,Queen,1977,Queen,"арена-рок,хеви-метал,арена-рок,,,,,","английский,английский",2:01,Elektra Records
Get Up (I Feel Like Being a) Sex Machine,Джеймс Браун,1970,Джеймс Браун,"фанк,",,2:49 ,King
For Your Precious Love,"Джерри Батлер,The Impressions",1958,,,,,
Baby Love,The Supremes,1964,"Брайан Холланд, Ламонт Дозье",,английский,2:34,Motown
I Can’t Make You Love Me,Бонни Рэйтт,1991,Бонни Рэйтт,,,,
Dancing Barefoot,Patti Smith Group,1979,Тодд Рандгрен,Рок,английский,4:18,Arista
Fight the Power,Public Enemy,1989,,хип-хоп,,5:23 ,Motown
Heartbreaker,Led Zeppelin,1969,Джимми Пейдж,"Блюз-рок,,,Хард-рок,,",английский,4,Atlantic
Comfortably Numb,Pink Floyd,1979,Боб Эзрин,Прогрессивный рок,английский,3:59,EMI
Wake Up Little Susie,The Everly Brothers,1957,,"кантри,рокабилли",,1:57,Cadence
Cortez the Killer,Нил Янг,1975,Нил Янг,,,,
Good Lovin’,The Young Rascals,1966,"Ариф Мардин,Том Дауд",,,,
I Put a Spell on You,Скримин Джей Хокинс,1956,,"ритм-н-блюз,,рок-н-ролл,,шок-рок,,Рок-н-ролл","английский,английский",2 ,OKeh
Iron Man,Black Sabbath,1970,,"хеви-метал,Рок","английский,английский",3:33 / 5:56 (,Vertigo
Lonely Teardrops,Джеки Уилсон,1958,Берри Горди,рок-н-ролл,,2:41,Brunswick
What’s Love Got to Do with It,Тина Тёрнер,1984,,"Поп,R&B,R&B,хип-хоп Западного побережья,даунтемпо,тропикал-хаус","английский,английский,английский",3:48,Capitol
Say It Loud – I’m Black and I’m Proud,Джеймс Браун,1968,Джеймс Браун,фанк,,,King
Why Do Fools Fall in Love,The Teenagers,1956,,"ду-воп,рок-н-ролл,ритм-н-блюз,соул",,2:20,Gee Records
With a Little Help from My Friends,The Beatles,1967,Джордж Мартин,"поп-рок,психоделик-поп",английский,02:44,Parlophone
Ruby Tuesday,The Rolling Stones,1967,Эндрю Луг Олдем,барокко-поп,английский,3:32,Decca Records
Blue Eyes Crying in the Rain,Вилли Нельсон,1975,Вилли Нельсон,кантри,английский,2:18,Columbia
Sign o’ the Times,Принс,1987,Принс,"фанк,,минимализм,",,"3:44 (7"")",Paisley Park
Heart of Gold,Нил Янг,1972,Нил Янг,"фолк-рок,кантри-рок",английский,3:07,Reprise
One Way or Another,Blondie,1979,Майк Чепмен,"панк-рок,новая волна,пауэр-поп",английский,3:31,Chrysalis
"Get Up, Stand Up",Bob Marley & The Wailers,1975,Крис Блэквелл,регги,,3:15,Tuff Gong
Street Fighting Man,The Rolling Stones,1968,Джимми Миллер,"хард-рок,,рок-н-ролл,,рага-рок,",английский,3:09,London
Black Dog,Led Zeppelin,1971,Джимми Пейдж,"хард-рок,блюз-рок",английский,4:56,Atlantic Records
That’s Entertainment,The Jam,1980,The Jam,,,,
Train in Vain,The Clash,1979,,,английский,3:09,CBS
She’s Not There,The Zombies,1964,,Бит,английский,2:25,Decca
Walk This Way,"Run-DMC,Aerosmith",1986,"Рик Рубин,Расселл Симмонс","хард-рок,,рэп-рок,,хард-рок,,поп","английский,английский,английский",03:32,Columbia
Stan,"Эминем,Дайдо",2000,Эминем,"альтернативный хип-хоп,хорроркор",,6:44 (альбомная версия),Aftermath
Can’t Buy Me Love,The Beatles,1964,Джордж Мартин,Рок-н-ролл,английский,2:15,Capitol Records
Money (That’s What I Want),Барретт Стронг,1960,Берри Горди,"ритм-н-блюз,Бит,блюз","английский,английский,английский",2:47,Tamla
Smokestack Lightning,Хаулин Вулф,1956,"Леонард Чесс,Фил Чесс,Вилли Диксон",блюз,,2:32,Chess
Ain’t No Sunshine,Билл Уизерс,1971,Букер Ти Джонс,"соул,R&B,блюз",английский,2:03,Sussex
Pictures of You,The Cure,1989,Роберт Смит,"готик-рок,,электроник-рок,,синти-поп,,альтернативный рок,",,см. ниже,
Call Me,Blondie,1980,Джорджо Мородер,"дэнс-рок,,новая волна,,хард-рок,","английский,[8]",3:32 ,Polydor Records
Tired of Being Alone,Эл Грин,1971,,,,,
Born in the U.S.A.,Брюс Спрингстин,1984,"Брюс Спрингстин,Стив Ван Зандт",хартленд-рок,английский,4:38,Columbia
Summer Babe,Pavement,1992,Стивен Малкмус,,,,
(What’s So Funny ’Bout) Peace Love and Understanding?,Elvis Costello & the Attractions,1979,Ник Лоу,,,,
Somebody to Love,Jefferson Airplane,1967,,"Психоделический рок,",английский,2:58,RCA Records
Chapel of Love,The Dixie Cups,1964,"Джерри Либер и Майк Столлер,Элли Гринвич,Джефф Барри",,,,
